name,value,year,lastValue,rank,colour
BTC,144823993562,2019.789,138031885379,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,147650082215,2019.786,144962727398,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,150680499056,2019.784,148178376843,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,149700817939,2019.781,150025712267,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,149965767624,2019.778,154861842425,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,149685618275,2019.775,154354054194,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,154430515160,2019.773,153277483626,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,154579656110,2019.77,157160974644,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,147966069982,2019.767,158949942842,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,148252589805,2019.764,159068712900,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,143607672862,2019.762,158009772437,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,146529229668,2019.759,163364406732,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,147491804056,2019.756,158981489715,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,148448162840,2019.753,158808570729,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,150823797662,2019.751,167138722904,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,149913972768,2019.748,168806151583,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,149011567415,2019.745,168459778835,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,145590374681,2019.742,169706332936,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,148122503616,2019.74,166495319475,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,148212635834,2019.737,168090392935,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,145812492488,2019.734,166928044164,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,152404005091,2019.732,165804227835,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,154785821876,2019.729,165899500650,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,174674558023,2019.726,169883866262,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,180784051699,2019.723,166777392742,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,179853287294,2019.721,172087039875,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,182738947696,2019.718,166547360782,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,184240949577,2019.715,156006603607,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,182998899156,2019.712,134968410276,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,183748515828,2019.71,135337364282,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,184366827555,2019.707,145469660005,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,185618174384,2019.704,148432733155,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,185784300332,2019.701,148026597064,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
