,name,value,year,lastValue,rank,colour
0,BTC,144823993562.0,2019.789,138031885379.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
1,BTC,147650082215.0,2019.786,144962727398.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
2,BTC,150680499056.0,2019.784,148178376843.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
3,BTC,149700817939.0,2019.781,150025712267.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
4,BTC,149965767624.0,2019.778,154861842425.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
5,BTC,149685618275.0,2019.775,154354054194.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
6,BTC,154430515160.0,2019.773,153277483626.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
7,BTC,154579656110.0,2019.77,157160974644.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
8,BTC,147966069982.0,2019.767,158949942842.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
9,BTC,148252589805.0,2019.764,159068712900.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
10,BTC,143607672862.0,2019.762,158009772437.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
11,BTC,146529229668.0,2019.759,163364406732.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
12,BTC,147491804056.0,2019.756,158981489715.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
13,BTC,148448162840.0,2019.753,158808570729.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
14,BTC,150823797662.0,2019.751,167138722904.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
15,BTC,149913972768.0,2019.748,168806151583.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
16,BTC,149011567415.0,2019.745,168459778835.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
17,BTC,145590374681.0,2019.742,169706332936.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
18,BTC,148122503616.0,2019.74,166495319475.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
19,BTC,148212635834.0,2019.737,168090392935.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
20,BTC,145812492488.0,2019.734,166928044164.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
21,BTC,152404005091.0,2019.732,165804227835.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
22,BTC,154785821876.0,2019.729,165899500650.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
23,BTC,174674558023.0,2019.726,169883866262.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
24,BTC,180784051699.0,2019.723,166777392742.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
25,BTC,179853287294.0,2019.721,172087039875.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
26,BTC,182738947696.0,2019.718,166547360782.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
27,BTC,184240949577.0,2019.715,156006603607.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
28,BTC,182998899156.0,2019.712,134968410276.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
29,BTC,183748515828.0,2019.71,135337364282.0,0,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
