,name,value,year,lastValue,rank,colour
0,BTC,144823993562,2019.789,138031885379,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
1,BTC,147650082215,2019.786,144962727398,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
2,BTC,150680499056,2019.784,148178376843,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
3,BTC,149700817939,2019.781,150025712267,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
4,BTC,149965767624,2019.778,154861842425,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
5,BTC,149685618275,2019.775,154354054194,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
6,BTC,154430515160,2019.773,153277483626,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
7,BTC,154579656110,2019.77,157160974644,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
8,BTC,147966069982,2019.767,158949942842,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
9,BTC,148252589805,2019.764,159068712900,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
10,BTC,143607672862,2019.762,158009772437,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
11,BTC,146529229668,2019.759,163364406732,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
12,BTC,147491804056,2019.756,158981489715,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
13,BTC,148448162840,2019.753,158808570729,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
14,BTC,150823797662,2019.751,167138722904,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
15,BTC,149913972768,2019.748,168806151583,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
16,BTC,149011567415,2019.745,168459778835,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
17,BTC,145590374681,2019.742,169706332936,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
18,BTC,148122503616,2019.74,166495319475,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
19,BTC,148212635834,2019.737,168090392935,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
20,BTC,145812492488,2019.734,166928044164,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
21,BTC,152404005091,2019.732,165804227835,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
22,BTC,154785821876,2019.729,165899500650,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
23,BTC,174674558023,2019.726,169883866262,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
24,BTC,180784051699,2019.723,166777392742,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
