name,value,year,lastValue,rank,colour
BTC,1,2019.789,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.786,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.784,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.781,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.778,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.775,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.773,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.77,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.767,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.764,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.762,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.759,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.756,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.753,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.751,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.748,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.745,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.742,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.74,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.737,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.734,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.732,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.729,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.726,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.723,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.721,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.718,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.715,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.712,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.71,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.707,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.704,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.701,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.699,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.696,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.693,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.69,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.688,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.685,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.682,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.679,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.677,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.674,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.671,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.668,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.666,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.663,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.66,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.658,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.655,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.652,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.649,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.647,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.644,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.641,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.638,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.636,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.633,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.63,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.627,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.625,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.622,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.619,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.616,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.614,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.611,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.608,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.605,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.603,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.6,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.597,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.595,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.592,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.589,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.586,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.584,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.581,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.578,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.575,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.573,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.57,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.567,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.564,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.562,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.559,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.556,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.553,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.551,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.548,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.545,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.542,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.54,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.537,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.534,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.532,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.529,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.526,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.523,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.521,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.518,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.515,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.512,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.51,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.507,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.504,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.501,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.499,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.496,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.493,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.49,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.488,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.485,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.482,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.479,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.477,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.474,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.471,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.468,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.466,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.463,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.46,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.458,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.455,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.452,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.449,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.447,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.444,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.441,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.438,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.436,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.433,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.43,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.427,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.425,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.422,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.419,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.416,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.414,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.411,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.408,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.405,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.403,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.4,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.397,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.395,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.392,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.389,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.386,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.384,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.381,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.378,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.375,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.373,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.37,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.367,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.364,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.362,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.359,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.356,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.353,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.351,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.348,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.345,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.342,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.34,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.337,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.334,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
BTC,1,2019.332,1,1,"{'h': 8.66, 's': 0.75, 'l': 0.75}"
